Declared UDA,Reference Number,Application Type,Proposal details,Type of approval,Address of Site,Property Desc.,Decision date
"Northshore Hamilton, Brisbane",DEV2009/013,Material Change of Use,"Display and sales activities, display dwelling, estate sales office, indoor sport and recreation, multi-unit dwelling, office, restaurant not exceeding 1000m2 of GFA and shop where located on the ground level and not exceeding 1000m2 of GFA.",Development Permit,"483-485 Kingsford Smith Drive and 2a, 8 and 29 Hercules Street, Hamilton","Lot 544 SL1514, Lot 550 SL1551, Lot 100 SP116284, Lot 650 SL2212 and Lot 1SP206759",19/03/2010
,,,Change to Approval approved 16 June 2010.,,,,
"Northshore Hamilton, Brisbane",DEV2009/014,Material Change of Use,"MCU - Multiple Residential, Visitor Accomodation, Food Premises, Showroom and Shop",Development Permit,"5 & 9 Hercules Street, Hamilton",Lot 645 on SL2184 and Part Lot 631 on SL804514,10/05/2011
,,,Change to Approval approved 13 February 2015.,,,,
,,,Extension to Currency Period approved 13 February 2015.,,,,
"Northshore Hamilton, Brisbane",DEV2009/015,Reconfiguring a Lot,1 into 2 lots,Development Permit,"112 Cullen Avenue, Eagle Farm",Lot 617 on RP214770,7/09/2009
"Bowen Hills, Brisbane",DEV2009/016,Material Change of Use,Educational Establishment,Development Permit,"47 Brookes Street, Bowen Hills",Lot 1 on RP167860,13/08/2009
,,,Change to approval approved 7 August 2013,,,,
"Bowen Hills, Brisbane",DEV2009/017,Material Change of Use,Residential apartment building - 132 apartments over 10 levels,Development Permit,6-8 Jeays Street/3-5 Hurworth Street Bowen Hills Q 4006,"Lot 1 on RP10082, Lot 2 on RP10082, Lot 4 on RP 10083, Lot 1 on RP52642, Lot 2 on RP52642 & Lot 653 on CP SL8481",22/09/2009
"Bowen Hills, Brisbane",DEV2009/018,Reconfiguring a Lot,MCU - service industry (self service car wash) - Change to Approval,Development Permit,"185 Abbotsford Road, Bowen Hills",Lot 2 on RP152590,12/02/2010
"Bowen Hills, Brisbane",DEV2009/019,Material Change of Use,Extension to office building,Development Permit,"49 Allison Street, Bowen Hills",Lot 219 on RP9371,8/10/2009
"Fitzgibbon, Brisbane",DEV2009/020,Reconfiguring a Lot,"2 into 67 lots, New Road and Park",Development Permit,"253 Telegraph Road, Fitzgibbon",Lot 10 on SP223412 & Lot 11 on SP223412,8/02/2010
,,,Change to Approval approved 3 June 2010.,,,,
,,,Change to Approval approved 23 August 2010.,,,,
,,,Change to Approval approved 20 December 2010.,,,,
"Fitzgibbon, Brisbane",DEV2009/021,Material Change of Use,Multiple Residential (10 Dwellings Units),Development Permit,"Lot 17 - 20 Carnarvon Crescent, Fitzgibbon",Lot 10 on SP223412,21/12/2009
"Northshore Hamilton, Brisbane",DEV2009/022,Reconfiguring a Lot,3 into 6,Development Permit,"Macarthur Avenue, Hamilton",Lot 904 on SP169072 and Lot 6 on SP195300,17/12/2009
"Fitzgibbon, Brisbane",DEV2009/023,Material Change of Use,Multiple Residential,Development Permit,"Part of 88 Odense Street, Fitzgibbon",Part of Lot 10 on SP223412,17/12/2009
"Bowen Hills, Brisbane",DEV2009/024,Material Change of Use,MCU - One Hundred and Seven (107) residential dwelling units,Development Permit,"Lot 3 Hurworth Street, Bowen Hill",Lot 3 on SP213464,6/05/2010
"Northshore Hamilton, Brisbane",DEV2009/025,Material Change of Use,Proposed Warehouse Building,Development Permit,"181 Fison Avenue West, Eagle Farm",Lot 774 on CP902153,17/12/2009
"Fitzgibbon, Brisbane",DEV2009/026,Operational Work,Op Works (vegetation clearing),Development Permit,"88 Odense St and Carselgrove Ave, Fitzgibbon",Lot 501 & Part Lot 502 on Lot 10 SP223412,8/01/2010
"Fitzgibbon, Brisbane",DEV2009/027,Reconfiguring a Lot,1 into 5 lots and new road,Development Permit,"253 Telegraph Road, Fitzgibbon",Lot 501 on SP228785,23/12/2009
"Fitzgibbon, Brisbane",DEV2009/028,Operational Work,Op Works (vegetation clearing and excavation and filling),Development Permit,"88 Odense Street and Carselgrove Ave, Fitzgibbon (Part of lot 10 SP223412)","Lot 506-507 on SP232005, Lot 904-905 on SP232005, Lot 504 on SP231982 and Lot 11 on SP223414",18/02/2010
"Northshore Hamilton, Brisbane",DEV2009/030,Reconfiguring a Lot,ROL with a sub-precinct plan,Development Permit,"Macarthur Avenue, Eagle Farm",Lot 61 & 62 on SP231794 an Lot 1303 on SP195300,16/06/2011
"Bowen Hills, Brisbane",DEV2010/029,Material Change of Use,Demolition of Police Beat Building,Development Permit,"488 St Pauls Terrace, Bowen Hills",lot 485 on SP192466,19/03/2010
"Bowen Hills, Brisbane",DEV2010/031,Material Change of Use,"Petrol Station (including erection of cashier/shop, fuelling pumps and canopy, and associated car parking, landscaping and underground fuel storage tanks.",Development Permit,"136-146 Abbotsford Road, Bowen Hills",Lot 5 on SP211100,19/05/2010
"Fitzgibbon, Brisbane",DEV2010/032,Operational Work,"Operational Works (bulk earthworks) excavation & filling, and vegetation clearing",Development Permit,"88 Odense St and Caselgrove Ave, Fitzgibbon (Part of lot 10 SP223412)","Lot 506-507 on SP232005, Lot 904-905 on SP232005, Lot 504 on SP231982 and Lot 11 on SP223414",8/04/2010
"Bowen Hills, Brisbane",DEV2010/033,Material Change of Use,MCU - indoor entertainment and outdoor sport and recreation.,Development Permit,"85-93 Abbotsford Road, Bowen Hills",Lot 135 & 136 on B123430 and Lots 137 & 138 on SL11563,27/01/2011
,,,Change to Approval approved 27 March 2015.,,,,
"Bowen Hills, Brisbane",DEV2010/034,Operational Work,Removal of dead fig tree,Development Permit,"600 Gregory Terrace, Bowen Hills",L481 on SP196765,19/03/2010
"Bowen Hills, Brisbane",DEV2010/035,Other,"Demolition of Buildings 20,23,27",Development Permit,"631 Gregory Terrace, Bowen Hills",Lot 485 on SP192466 and Lot 487 on SP196776,27/04/2010
"Northshore Hamilton, Brisbane",DEV2010/036,Reconfiguring a Lot,Volumetric Subdivision,Development Permit,"45 Harbour Road, Hamilton",Lot 901 & 907 on SP169072,3/06/2010
"Fitzgibbon, Brisbane",DEV2010/037,Material Change of Use,Multiple Residential - 22 affordable townhouse (2 per lot),Development Permit,"Part of 88 Odense Street, Fitzgibbon",Part of Lot 504 SP231982 ( approved lot 118-122 and 147-152 on plan ref 22743-72F),31/05/2010
"Fitzgibbon, Brisbane",DEV2010/038,Material Change of Use,"MCU (Park) and, Operational Work (Significant Vegetation Clearing plus Excavation and Filling)",Development Permit,"253 Telegraph Road, Fitzgibbon",Part of Lot 11 on SP223412,19/05/2010
,,Operational Work,,,,,
"Northshore Hamilton, Brisbane",DEV2010/039,Material Change of Use,MCU - Showroom,Development Permit,"109b Links Avenue South, Eagle Farm",Lot 608 on SP1883,26/08/2010
"Fitzgibbon, Brisbane",DEV2010/040,Reconfiguring a Lot,3 into 3 lots and New Road,Development Permit,"253 Telegraph Road, Fitzgibbon","Lots 505, 507 and Lot 508 on SP232005",26/10/2010
"Northshore Hamilton, Brisbane",DEV2010/041,Material Change of Use,MCU - Landing and OW - Tidal works for a pontoon adjoining lots.,Development Permit,"33B & 33D Harbour Road, Hamilton",Lot 14 & 15 on SP163620,9/09/2010
,,Operational Work,Change to Approval - Extend Currency Period - approved 30 March 2014,,,,
,,,Change to Approval - Extend Currency Period - approved 16 September 2014,,,,
"Bowen Hills, Brisbane",DEV2010/042,Material Change of Use,"Multiple Residential (27 Dwelling Units), Shop and Food Premises (35.72m2).",Development Permit,"24 Brookes Street, Bowen Hills",Lots 4 & 5 RP9985,5/05/2011
,,,Change to Approval approved 05.07.12 - Multiple Residential (36 Dwelling Units) and Shop and Food Premises (30m2).,,,,
,,,Generally in Accordance approved 17.10.13.,,,,
"Northshore Hamilton, Brisbane",DEV2010/043,Material Change of Use,MCU - Landing and OW - Tidal Works for a City Cat Terminal,Development Permit,"35 Macarthur Avenue, Eagle Farm",Lot 115 on SP224971,26/08/2010
,,Operational Work,,,,,
"Northshore Hamilton, Brisbane",DEV2010/044,Other,"Establishment of pontoon at the river frontage of 33 and 33A Harbour Road, Hamilton",Development Permit,"33 & 33A Harbour Road, Hamilton",Lot 8 on SP1798114 & Lot 11 on SP172632,9/09/2010
"Northshore Hamilton, Brisbane",DEV2010/045,Material Change of Use,Material Change of Use (Landing) and Opertaional Work(Tidal Works),Development Permit,449 Kingsford Smith Drive,Lot 8 on RP892884,29/10/2010
,,Operational Work,,,,,
"Bowen Hills, Brisbane",DEV2010/046,Reconfiguring a Lot,8 lots into 20 lots and access easements,Development Permit,"24, 52-4 and 58-4 O'Connell Terrrace, 601, 631 and 665 Gregory Terrace and 10 and 11 Symes Street, Bowen Hills","Lot 481 on SP196765, Lot 3 on SP190738, Lot 2 on SP144596, Lot 486 on SL4553, Lot 487 on SP196776, Lot 484 on SL4553, Lot 641 on SP196755 and Lot 485 on SP192766",24/09/2010
"Bowen Hills, Brisbane",DEV2010/047,Material Change of Use,Material Change of Use and Building Works (other than under the Building Act) for uses in accordance with the RNA Showgrounds Master Plan,Development Permit,"24, 52-4 and 58-4 O'Connell Terrace, 601, 631 and 665 Gregory Terrace, 10 an 11 Symes Street and the Alexandria Street Road Reserve, Bowen Hills","Lot 481 on SP196765, Lot 3 on SP190738, Lot 2 on SP144596, Lot 486 on SL4553, Lot 487 on SP196776, Lot 484 on SL4553, Lot 641 on SP196755, Lot 485 on SP192466 and the Alexandria Street Reserve",25/11/2010
,,Other,Change to Approval approved 15 October 2013.,,,,
"Bowen Hills, Brisbane",DEV2010/049,Material Change of Use,Medical Centre (Counselling) and Office,Development Permit,"4-6 Brookes Street and 1 Hamilton Place, Bowen Hills",Lot 2 and 7 on RP9982 and Lot 6 on RP9983,16/02/2011
"Northshore Hamilton, Brisbane",DEV2010/050,Material Change of Use,Outdoor Sales & Hire yard & ERA 21 (motor vehicle workshop),Development Permit,"184 Curtin Avenue, Eagle Farm Q 4009",Lot 863 on SL4592,3/12/2010
"Bowen Hills, Brisbane",DEV2010/051,Material Change of Use,DP for MCU for 194 mulit-residential units and shop - Change to Approval,Development Permit,"16 Hamilton Place, Bowen Hills",Lot 1 & 4 on RP99817,21/10/2010
"Fitzgibbon, Brisbane",DEV2010/052,Material Change of Use,Development Permit for Meterial Change of Use for Multiple Residential (15 Dwellings),Development Permit,"Lots 47-51 Diamantina Cres, Fitzgibbon","Lots 47-51 Diamantina Cres, Fitzgibbon",1/12/2010
"Oonoonba, Townsville",DEV2010/053,Reconfiguring a Lot,Reconfiguring a Lot (1 lot into 70 residential lots),Development Permit,"180/202 River Boulevard, Oonoonba QLD 4811",Lot 51 on SP233012,25/11/2010
,,,Change to Approval approved 24 March 2011,,,,
"Clinton, Gladstone",DEV2010/055,Reconfiguring a Lot,"ROL - 1 lot into 32 residential lots, 2 open space lots and new road - Change to Approval",Development Permit,"2 Harvey Road, Clinton",Lot 193 on CTN1861,25/11/2010
"Andergrove, Mackay",DEV2010/056,Reconfiguring a Lot,ROl Stage 1 - 1 lot into 35,Development Permit,"271 Bedford Road, Andergrove",Lot 2 on RP711645,22/12/2010
"Fitzgibbon, Brisbane",DEV2010/057,Material Change of Use,"Reconfiguring a Lot (1 Lot into 2 Lots and New Road) and Material Change of Use (Community Facility, Shop, Office and Foot Premises)",Development Permit,"253 Telegraph Road, Fitzgibbon",Lot 11 on SP223412,17/11/2010
,,Reconfiguring a Lot,,,,,
"Northshore Hamilton, Brisbane",DEV2010/059,Material Change of Use,"Multiple Rential (208 units) and Food Premises, Medical Centre, Office, Service Industry and Shop (541sqm).",Development Permit,"35A Hercules Street, HAMILTON QLD 4007",Lots 901 & 907 on SP169072,12/10/2010
,,,Change to Approval approved 4 March 2014.,,,,
"Fitzgibbon, Brisbane",DEV2010/060,Reconfiguring a Lot,Lot 511 on SP124612,Development Permit,"253 Telegraph Road, Fitzgibbon",ROL 2 lots into 103 residential lots including 2 new parkland lots and road,29/10/2010
"Fitzgibbon, Brisbane",DEV2010/061,Material Change of Use,MCU multi residential 4 units,Development Permit,"Palmerston Lane, Fitzgibbon QLD",Lot 14 & 15 on SP228785,8/10/2010
"Fitzgibbon, Brisbane",DEV2010/062,Material Change of Use,Subdivide 2 lots into 8 and construct 2 duplexes and 2 quadplex,Development Permit,"Lot 46 & 801 Hinchinbrook Avenue, Fitzgibbon",Lot 46 & 801 on SP234611,8/10/2010
,,Reconfiguring a Lot,,,,,
"Fitzgibbon, Brisbane",DEV2010/063,Material Change of Use,"Multi-residential (46 units), including associated provision of services and landscaping",Development Permit,"Part of 86 Carselgrove Avenue, Fitzgibbon",Part of lot 506 on SP232005,25/10/2010
"Fitzgibbon, Brisbane",DEV2010/064,Material Change of Use,Fitzgibbon Stormwater Havesting Scheme (FISH). Development Permit for the Building Works associated with Utility Installation facility.,Development Permit,"253 Telegraph Road, Fitzgibbon",Part of Lot 11 on SP223412,26/10/2010
,,Operational Work,,,,,
Blackwater,DEV2010/065,Reconfiguring a Lot,ROL 7 lot subdivision for a community title subdivision at Lot 8,Development Permit,"Deacon Drive, Blackwater",Lot 8 on SP206875,25/11/2010
Blackwater,DEV2010/068,Reconfiguring a Lot,ROL 6 lot subdivision for a community title subdivision,Development Permit,"Deacon Drive, Blackwater",Lot 14 on SP206875,8/12/2010
Blackwater,DEV2010/069,Reconfiguring a Lot,ROL - 6 lot subdivision for a Communtiy Title Subdivision,Development Permit,"Deacon Drive, Blackwater",Lot 36 on SP206875,8/12/2010
Blackwater,DEV2010/070,Material Change of Use,MCU - Multiple Residential (8 dwellings),Development Permit,"51 Bremner Street, Blackwater",Lot 36 on B337131,11/04/2011
"Clinton, Gladstone",DEV2010/071,Material Change of Use,Child Care Centre,Development Permit,"2-4 Harvey Road, Clinton",Lot 192 on CTN1861,7/01/2011
,,Reconfiguring a Lot,,,,,
Blackwater,DEV2010/073,Material Change of Use,ROL 1 into 6 lot subdivision and MCU 6 build to boundary houses,Development Permit,"28 Blain Street, Blackwater",Lot 4 on B337136,8/07/2011
,,Reconfiguring a Lot,,,,,
"Northshore Hamilton, Brisbane",DEV2010/075,Material Change of Use,Retail premises (outdoor sales and hire yard) involving ERA21 (motor vehicle workshop),Development Permit,"340 Curtin Avenue West, Eagle Farm QLD 4009",Lot 806 SL7328,3/02/2011
Blackwater,DEV2010/076,Material Change of Use,MCU - multiple residential (14 dwelling units),Development Permit,"Lot 41 Bauman Way, Blackwater",Lot 41 on SP206875,20/12/2010
"Northshore Hamilton, Brisbane",DEV2010/077,Material Change of Use,Temporary Activity - Car Park,Development Permit,"240 Macarthur Avenue, Eagle Farm",Lot 13 on SP214221,29/10/2010
,,,Change to Approval approved 12 August 2014.,,,,
Blackwater,DEV2010/078,Reconfiguring a Lot,Dual occupancy and ROL for standard format lots with common property,Development Permit,"11 Summer Red Court, Blackwater",Lot 39 on SP211943,23/02/2011
"Fitzgibbon, Brisbane",DEV2010/079,Reconfiguring a Lot,Reconfiguration of lot (3 into 6 lots) and resume land for the creation of Northern Busway,Development Permit,"253 Telegraph Road, Fitzgibbon","Lot 11 on sP223412 & Lot 511 on 234612, Lot 506 on SP232005",29/10/2010
Blackwater,DEV2010/080,Material Change of Use,8 unit multiple residential development and lot reconfigeration by community title,Development Permit,"41 Rufus Street, Blackwater",Lot 8 on HT596,3/02/2011
,,Reconfiguring a Lot,,,,,
"Fitzgibbon, Brisbane",DEV2010/081,Operational Work,Potaroo building works and Op Works (clearing vegetation),Development Permit,"253 Telegraph Road, Fitzgibbon",Part of Lot 11 on SP223412,26/10/2010
"Andergrove, Mackay",DEV2010/082,Reconfiguring a Lot,ROL a Lot UDA Stage 2 (20 lots) and Stage 3 (21 lots),Development Permit,"274 Bedford Road, Andergrove",Lot 2 & 3 on SP237606,28/02/2011
"Fitzgibbon, Brisbane",DEV2010/083,Reconfiguring a Lot,ROL (1 Lot into 19 Lots),Development Permit,"253 Telegraph Road, Fitzgibbon",Lot 511 on SP234612 (approved Lot 1001 within Area E1),21/01/2011
Ripley Valley,DEV2010/084,Reconfiguring a Lot,3 into 260 lots (over 11 stages),Development Permit,"548-582, 618-638 Ripley Road, Ripley","Lot 179 on SP143798, Lot 180 on RP910173 & Lot 182 on S151860",5/08/2011
,,,Change to Approval approved 13 May 2013.,,,,
,,,Approval to extend currency period to 5 August 2017 approved 2 September 2013.,,,,
,,,Change to Approval approved 6 november 2013.,,,,
Greater Flagstone,DEV2010/085,Material Change of Use,ROL with POD for 1 into 126 lots plus road and park; and MCU for house (126 dwellings) and multiple residential (12 dwellings in dual occupancy configuration),Development Permit,"34 Creekside Crescent, New Beith Qld 4280",Lot 900 on SP216471,9/03/2011
Blackwater,DEV2010/086,Reconfiguring a Lot,ROL 1 into 7 with house on each lot,Development Permit,"Summer Red Court, Blackwater","Lots 24,25 & 26 on SP211943",8/07/2011
Blackwater,DEV2010/087,Material Change of Use,MCU - Community Purposes - Extension of existing child care centre,Development Permit,"38 Elm Street,Blackwater",Lot 64 on HT432,11/04/2011
"Fitzgibbon, Brisbane",DEV2010/088,Reconfiguring a Lot,"Development Application within Area C for a Reconfigeration of a Lot - 1 lot into 60 lots plus a balance lot, utility installation lots, parks and new road.",Development Permit,"253 Telegraph Road, Fitzgibbon",Lot 511 on SP234612,26/09/2011
Yarrabilba,DEV2010/089,Reconfiguring a Lot,Development Permit for Reconfiguring a Lot Subdivision 2 into 597 residential and non-residential lots with Plan of Development.,Development Permit,"Waterford Tamborine Road, Yarrabilba",Part of Lot 2 on RP138537,11/04/2011
,,,Change to Approval approved 8 May 2015.,,,,
,,,Change to Approval approved 18 August 2015.,,,,
Moranbah,DEV2010/090,Reconfiguring a Lot,"Reconfiguration of a Lot (1 lot into 109 lots, public road and park representing Stage 6 of the estate, plus 1 balance lot)",Development Permit,"Mills Avenue, Moranbah",Lot 504 on SP230470,16/06/2011
"Northshore Hamilton, Brisbane",DEV2010/091,Material Change of Use,"Multi-residential with fast food premises, food premises, indoor sport and recreation, medical centre, office, service industry, shop, visitor accommodation, veterinary clinic",Development Permit,"19 Hercules Street, Hamilton",Lot 3 on SP172658,6/05/2011
Ripley Valley,DEV2010/092,Material Change of Use,"Reconfiguring a lot (132 residential lots, 7 management lots, 3 balance lots and park), Material Change of Use (132 houses (including display homes) and 10 multiple residential dwellings).",Development Permit,"Barrams Road, South Ripley",Lots 59 to 61 on SP151855 and Part of Barrams Road reserve (to be closed),23/11/2011
,,Reconfiguring a Lot,Change to Approval approved 5 February 2014.,,,,
Moranbah,DEV2010/093,Material Change of Use,Accommodation Village,Development Permit,"Belyando Avenue, Moranbah",Lot 4 on SP239826,18/07/2011
Ripley Valley,DEV2010/094,Reconfiguring a Lot,"1 lot (and unconstructed road) into 150 lots plus commercial lot, balance lots and opening of new road",Development Permit,"Lot 207 South Deebing Road, Deebing Heights",Lot 207 on CH31135,22/12/2011
,,,Change to approval approved 25 May 2012.,,,,
,,,Change to Approval approved 29 November 2013.,,,,
"Fitzgibbon, Brisbane",DEV2010/096,Material Change of Use,Multiple Res (6 dwelling units),Development Permit,"3, 5 & 8 Endeavour Place, Fitzgibbon","Lots 60, 59, 58 on SP234611",21/01/2011
"Fitzgibbon, Brisbane",DEV2010/097,Material Change of Use,4 Lots into 13 and construct 5 primary dwellings & 8 Loft dwellings,Development Permit,"Lot 123-126 Girraween Lane, Fitzgibbon Qld 4180",Lot 123-126 on SP234612,28/02/2011
,,Reconfiguring a Lot,,,,,
"Fitzgibbon, Brisbane",DEV2010/098,Material Change of Use,6 into 14 lots & construct 10 terrace dwellings & 1 quadplex,Development Permit,"Lot 127 Hinchinbrook Ave & Lots 142-146 Rogan Road, Fitzgibbon Qld 4180",Lot 127 & Lot 142-146 on SP234612,28/02/2011
,,Reconfiguring a Lot,,,,,
"Bowen Hills, Brisbane",DEV2010/099,Material Change of Use,Development Permit for a Material Change of Use for 286 Multi Residential Units and Shop.,Development Permit,"29-35 Campbell Street, 12 Hazelmount Street & 29 Mayne Road, Bowen Hills","Lot 1 RP 78299, Lot 1 RP 89174, Lot 46 RP 9895, Lot 50 RP 9895, Lot 49 SP 110353",15/04/2011
,,,Change to Approval approved 14 November 2013.,,,,
,,,Change to Approval approved 28 August 2014.,,,,
Caloundra South,DEV2010/100,Reconfiguring a Lot,"Development Permit for Reconfiguring a Lot (245 Residential Lots, 1 Neighbourbood Centre Lot, Parks and New Road) with Plan of Development for Houses (245 Dwellings) and Signage.",Development Permit,"Bellvista Boulevard, Caloundra West",Part of Lot 2000 on SP245188 & Lot 202 on SP190373 (formally part of Lot 22 on SP190373),2/09/2011
,,,Change to Approval approved 15 May 2013.,,,,
,,,Change to Approval approved 31 October 2013.,,,,
,,,Change to Approval approved 3 February 2015.,,,,
,,,Change to Approval approved 28 August 2015.,,,,
Caloundra South,DEV2010/101,Reconfiguring a Lot,"Development Permit for Reconfiguring a Lot (463 Residential Lots, 3 Medium Density Lots, Parks and new Road) with Plan of Development for Houses (463 Dwellings) and Signage",Development Permit,"Bellvista Boulevard, Caloundra West",Lot 22 on SP190373 and part of lot 202 on SP190373,2/09/2011
,,,Change to Approval approved 17 July 2013,,,,
,,,Amendment to Change to Approval approved 29 August 2013.,,,,
,,,Change to Approval approved 3 June 2015.,,,,
,,,Change to Approval approved 28 August 2015.,,,,
"Northshore Hamilton, Brisbane",DEV2010/102,Material Change of Use,Offices and Showroom,Development Permit,"10 Theodore Street, Eagle Farm",Lot 1 SP228434,11/04/2011
,,,Extend Currency Period to 11 April 2019 approved 1 April 2015.,,,,
,,,Change to Approval approved 2 September 2015.,,,,
"Bowen Hills, Brisbane",DEV2010/103,Material Change of Use,Visitor accommodation (40 units) and food premises.,Development Permit,"65 O'Connell Terrace, Bowen Hills",Lot 31 on RP208866,25/12/2011
,,,Application to extend currency period approved 28 January 2014.,,,,
Blackwater,DEV2010/104,Material Change of Use,Extension to Carwash,Development Permit,"5 Arthur Street, Blackwater",Lot 3 on SP143228,30/05/2011
,,Operational Work,,,,,
"Northshore Hamilton, Brisbane",DEV2010/105,Material Change of Use,Temporary 'food premises',Development Permit,"8 Harbour Road, Hamilton",Lot 100 SP116284,19/04/2011
"Bowen Hills, Brisbane",DEV2010/106,Material Change of Use,Mutlple Residnential (242 dwelling units) and Shop (475.1m2).,Development Permit,"37 Mayne Rd, Bowen Hills",Lot 1 on RP110079,10/06/2011
,,,Change to Approval approved 4 June 2014.,,,,
,,,Change to Approval approved 15 July 2014.,,,,
,,,Change to Approval approved 22 January 2015.,,,,
,,,Extension to Currency Period approved 2 June 2015.,,,,
Moranbah,DEV2011/107,Material Change of Use,"MCU - Catering Premises "" McDonalds Restaurant""",Development Permit,"Cnr Moranbah Access Road and Cunningham Road, Moranbah",Part Lot 900 on SP212063 identified as Lot 27 on RPS Plan 09002-03a,13/05/2011
Blackwater,DEV2011/108,Material Change of Use,MCU for Food Premises,Development Permit,"Doon Street, Blackwater",Lot 711 & 712 on HT596,11/05/2011
Moranbah,DEV2011/110,Material Change of Use,MCU - 3 Residential Dwelling Units,Development Permit,"35 Forrest Drive, Moranbah",Lot 31 on M97356,17/05/2011
"Fitzgibbon, Brisbane",DEV2011/111,Material Change of Use,MCU - 3 multiple residential dwelling units,Development Permit,"Lot 69 Diamantina Cresent, Fitzgibbon",Lot 69 on SP234611,28/02/2011
"Fitzgibbon, Brisbane",DEV2011/112,Material Change of Use,Multiple Residential (3 dwellings units),Development Permit,Lot 805 Kondalilla Place Fitzgibbon Chase,Lot 805 on SP234612,28/02/2011
"Fitzgibbon, Brisbane",DEV2011/113,Material Change of Use,MCU multiple residential (4 dwelling units),Development Permit,"Lot 70 Hinchinbrook Avenue, Fitzgibbon",Lot 70 on SP234612,1/03/2011
"Fitzgibbon, Brisbane",DEV2011/114,Reconfiguring a Lot,ROL - subdivision 1 into 3 lots and new road,Development Permit,"Lot 11 Roghan Road, Fitzgibbon",Lot 11 on SP223412,6/07/2011
"Fitzgibbon, Brisbane",DEV2011/116,Reconfiguring a Lot,ROL 1 lot into 2 lots,Development Permit,"253 Telegraph Road, Fitzgibbon",Lot 47 on SP234611,10/05/2011
"Fitzgibbon, Brisbane",DEV2011/117,Reconfiguring a Lot,ROL - 1 lot into 3 ltos,Development Permit,"253 Telegraph Road, Fitzgibbon",Lot 141 on SP234612,10/05/2011
Ripley Valley,DEV2011/118,Reconfiguring a Lot,"UDA Development Application for reconfiguring a lot (road widening) Ripley Road, Ripley",Development Permit,"Ripley Road, Ripley","3 RP203624; 2 RP58173; 348 S3173; 165 S3173; 352 S3173; 1 RP114350; 179 SP143798; 180 RP910173; 182 S151860; 183 S151860; 184 S151860, 510 S151860; 185 SP200943; 24 SP200943",10/04/2013
Ripley Valley,DEV2011/119,Material Change of Use,Development Approval for a Material Change of Use (Emergency Services),Development Permit,"338 – 396 Ripley Road, Ripley",Lot 2 on SP237241 (formerly part of Lot 2 on RP198203),7/09/2011
